Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,14051596
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,6537120
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,3693993
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,5520794
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,2640429
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,398886
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,510374
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,253105
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,382116
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,108945
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,244029
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,141190
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,88169
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,267040
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,44217
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,31426
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,28009
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,46575
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,19554
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,21211
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,11113
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,2514
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,726
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,1032
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,12939220,14055612
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicles,6604570,6536876
US-Mexico Border,12/01/2017 12:00:00 AM,Pedestrians,4084983,3692582
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,3918120,5526580
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicles,2033658,2642620
US-Mexico Border,12/01/2017 12:00:00 AM,Trucks,465722,398645
US-Canada Border,12/01/2017 12:00:00 AM,Trucks,415723,510716
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Full,320329,252862
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Full,303972,382398
US-Mexico Border,12/01/2017 12:00:00 AM,Bus Passengers,153202,244357
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Full,144333,108817
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Empty,142113,141187
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Empty,119996,88054
US-Canada Border,12/01/2017 12:00:00 AM,Bus Passengers,101295,267639
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Empty,58486,44166
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Empty,43734,31381
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Full,39599,27967
US-Canada Border,12/01/2017 12:00:00 AM,Pedestrians,16585,46683
US-Mexico Border,12/01/2017 12:00:00 AM,Buses,14483,19572
US-Canada Border,12/01/2017 12:00:00 AM,Train Passengers,13308,21240
US-Canada Border,12/01/2017 12:00:00 AM,Buses,4199,11138
US-Canada Border,12/01/2017 12:00:00 AM,Trains,1778,2517
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,1011,1032
US-Mexico Border,12/01/2017 12:00:00 AM,Trains,918,726
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,12651731,14060699
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicles,6538225,6536871
US-Mexico Border,12/01/2016 12:00:00 AM,Pedestrians,3742732,3692400
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,3661312,5533338
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicles,2001120,2644944
US-Mexico Border,12/01/2016 12:00:00 AM,Trucks,471027,398382
US-Canada Border,12/01/2016 12:00:00 AM,Trucks,429874,511009
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Full,340124,382551
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Full,315173,252636
US-Mexico Border,12/01/2016 12:00:00 AM,Bus Passengers,156361,244676
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Empty,153526,141142
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Full,128793,108745
US-Canada Border,12/01/2016 12:00:00 AM,Bus Passengers,104876,268228
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Empty,82752,88074
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Empty,48508,44150
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Full,40121,27923
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Empty,38259,31356
US-Mexico Border,12/01/2016 12:00:00 AM,Buses,16056,19585
US-Canada Border,12/01/2016 12:00:00 AM,Train Passengers,15120,21262
US-Canada Border,12/01/2016 12:00:00 AM,Pedestrians,14316,46801
US-Canada Border,12/01/2016 12:00:00 AM,Buses,4707,11162
US-Canada Border,12/01/2016 12:00:00 AM,Trains,2431,2517
US-Mexico Border,12/01/2016 12:00:00 AM,Train Passengers,928,1033
US-Mexico Border,12/01/2016 12:00:00 AM,Trains,857,725
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,12663151,14065781
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicles,6554035,6536809
US-Mexico Border,12/01/2015 12:00:00 AM,Pedestrians,3806503,3691985
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,3753777,5539809
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicles,2051559,2647102
US-Canada Border,12/01/2015 12:00:00 AM,Trucks,443072,511256
US-Mexico Border,12/01/2015 12:00:00 AM,Trucks,439833,398232
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Full,321599,382773
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Full,302522,252455
US-Mexico Border,12/01/2015 12:00:00 AM,Bus Passengers,222809,244755
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Empty,133821,141169
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Full,129075,108671
US-Canada Border,12/01/2015 12:00:00 AM,Bus Passengers,109880,268804
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Empty,81862,88096
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Empty,49783,44130
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Full,39311,27882
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Empty,39153,31328
US-Mexico Border,12/01/2015 12:00:00 AM,Buses,19011,19587
US-Canada Border,12/01/2015 12:00:00 AM,Pedestrians,18664,46903
US-Canada Border,12/01/2015 12:00:00 AM,Train Passengers,14133,21288
US-Canada Border,12/01/2015 12:00:00 AM,Buses,5297,11183
US-Canada Border,12/01/2015 12:00:00 AM,Trains,2426,2518
US-Mexico Border,12/01/2015 12:00:00 AM,Train Passengers,979,1033
US-Mexico Border,12/01/2015 12:00:00 AM,Trains,844,725
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,12207554,14072563
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicles,6329766,6537564
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,4458925,5543754
US-Mexico Border,12/01/2014 12:00:00 AM,Pedestrians,3815655,3691534
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicles,2406075,2647981
US-Canada Border,12/01/2014 12:00:00 AM,Trucks,445798,511494
US-Mexico Border,12/01/2014 12:00:00 AM,Trucks,431463,398110
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Full,311052,383034
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Full,269057,252394
US-Mexico Border,12/01/2014 12:00:00 AM,Bus Passengers,244142,244758
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Full,135873,108571
US-Canada Border,12/01/2014 12:00:00 AM,Bus Passengers,125678,269327
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Empty,103650,141306
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Empty,100925,88049
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Empty,61100,44068
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Empty,37996,31304
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Full,36430,27850
US-Canada Border,12/01/2014 12:00:00 AM,Pedestrians,19935,47001
US-Mexico Border,12/01/2014 12:00:00 AM,Buses,18883,19590
US-Canada Border,12/01/2014 12:00:00 AM,Train Passengers,15318,21310
US-Canada Border,12/01/2014 12:00:00 AM,Buses,5782,11203
US-Canada Border,12/01/2014 12:00:00 AM,Trains,2268,2519
US-Mexico Border,12/01/2014 12:00:00 AM,Train Passengers,884,1034
US-Mexico Border,12/01/2014 12:00:00 AM,Trains,825,724
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,11710485,14081215
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicles,6000441,6539532
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,4753768,5546648
US-Mexico Border,12/01/2013 12:00:00 AM,Pedestrians,3988323,3690447
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicles,2524328,2648434
US-Canada Border,12/01/2013 12:00:00 AM,Trucks,412866,511856
US-Mexico Border,12/01/2013 12:00:00 AM,Trucks,398636,398108
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Full,300125,383338
US-Mexico Border,12/01/2013 12:00:00 AM,Bus Passengers,254446,244722
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Full,233404,252464
US-Canada Border,12/01/2013 12:00:00 AM,Bus Passengers,142820,269790
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Full,120826,108526
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Empty,91227,141489
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Empty,90710,88040
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Empty,55063,44027
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Empty,34945,31290
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Full,33411,27830
US-Mexico Border,12/01/2013 12:00:00 AM,Buses,18896,19592
US-Canada Border,12/01/2013 12:00:00 AM,Train Passengers,15379,21332
US-Canada Border,12/01/2013 12:00:00 AM,Pedestrians,13847,47123
US-Canada Border,12/01/2013 12:00:00 AM,Buses,6302,11221
US-Canada Border,12/01/2013 12:00:00 AM,Trains,2317,2519
US-Mexico Border,12/01/2013 12:00:00 AM,Trains,779,724
US-Mexico Border,12/01/2013 12:00:00 AM,Train Passengers,291,1036
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,10971293,14092648
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicles,5608850,6542953
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,4847694,5549218
US-Mexico Border,12/01/2012 12:00:00 AM,Pedestrians,3923442,3689590
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicles,2545279,2648814
US-Canada Border,12/01/2012 12:00:00 AM,Trucks,390438,512302
US-Mexico Border,12/01/2012 12:00:00 AM,Trucks,370217,398211
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Full,287570,383690
US-Mexico Border,12/01/2012 12:00:00 AM,Bus Passengers,263620,244653
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Full,252068,252465
US-Canada Border,12/01/2012 12:00:00 AM,Bus Passengers,150095,270230
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Full,119825,108485
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Empty,117512,141577
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Empty,97013,88007
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Empty,55917,43984
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Full,32588,27813
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Empty,30085,31295
US-Mexico Border,12/01/2012 12:00:00 AM,Buses,19805,19591
US-Canada Border,12/01/2012 12:00:00 AM,Pedestrians,16812,47234
US-Canada Border,12/01/2012 12:00:00 AM,Train Passengers,12525,21364
US-Canada Border,12/01/2012 12:00:00 AM,Buses,6354,11239
US-Canada Border,12/01/2012 12:00:00 AM,Trains,2272,2520
US-Mexico Border,12/01/2012 12:00:00 AM,Trains,743,724
US-Mexico Border,12/01/2012 12:00:00 AM,Train Passengers,309,1039
US-Mexico Border,12/01/2011 12:00:00 AM,Personal Vehicle Passengers,10246464,14106841
US-Mexico Border,12/01/2011 12:00:00 AM,Personal Vehicles,5352799,6547345
US-Canada Border,12/01/2011 12:00:00 AM,Personal Vehicle Passengers,4797399,5551992
US-Mexico Border,12/01/2011 12:00:00 AM,Pedestrians,3753452,3689354
US-Canada Border,12/01/2011 12:00:00 AM,Personal Vehicles,2529059,2649256
US-Canada Border,12/01/2011 12:00:00 AM,Trucks,414522,512663
US-Mexico Border,12/01/2011 12:00:00 AM,Trucks,381976,398271
US-Canada Border,12/01/2011 12:00:00 AM,Truck Containers Full,271890,384103
US-Mexico Border,12/01/2011 12:00:00 AM,Bus Passengers,246049,244647
US-Mexico Border,12/01/2011 12:00:00 AM,Truck Containers Full,241312,252506
US-Canada Border,12/01/2011 12:00:00 AM,Bus Passengers,161998,270629
US-Canada Border,12/01/2011 12:00:00 AM,Rail Containers Full,114407,108463
US-Mexico Border,12/01/2011 12:00:00 AM,Truck Containers Empty,113485,141681
US-Canada Border,12/01/2011 12:00:00 AM,Truck Containers Empty,81462,88031
US-Canada Border,12/01/2011 12:00:00 AM,Rail Containers Empty,52520,43952
US-Mexico Border,12/01/2011 12:00:00 AM,Rail Containers Empty,34119,31284
US-Mexico Border,12/01/2011 12:00:00 AM,Rail Containers Full,28990,27808
US-Canada Border,12/01/2011 12:00:00 AM,Pedestrians,23785,47321
US-Mexico Border,12/01/2011 12:00:00 AM,Buses,19293,19593
US-Canada Border,12/01/2011 12:00:00 AM,Train Passengers,15839,21384
US-Canada Border,12/01/2011 12:00:00 AM,Buses,7156,11254
US-Canada Border,12/01/2011 12:00:00 AM,Trains,2314,2521
US-Mexico Border,12/01/2011 12:00:00 AM,Trains,699,724
US-Mexico Border,12/01/2011 12:00:00 AM,Train Passengers,295,1042
US-Mexico Border,12/01/2010 12:00:00 AM,Personal Vehicle Passengers,10335188,14120810
US-Mexico Border,12/01/2010 12:00:00 AM,Personal Vehicles,5498251,6551231
US-Canada Border,12/01/2010 12:00:00 AM,Personal Vehicle Passengers,4286994,5556677
US-Mexico Border,12/01/2010 12:00:00 AM,Pedestrians,3788938,3688986
US-Canada Border,12/01/2010 12:00:00 AM,Personal Vehicles,2285607,2650602
US-Canada Border,12/01/2010 12:00:00 AM,Trucks,402423,513071
US-Mexico Border,12/01/2010 12:00:00 AM,Trucks,376557,398351
US-Canada Border,12/01/2010 12:00:00 AM,Truck Containers Full,302171,384406
US-Mexico Border,12/01/2010 12:00:00 AM,Bus Passengers,272182,244545
US-Mexico Border,12/01/2010 12:00:00 AM,Truck Containers Full,249346,252518
US-Canada Border,12/01/2010 12:00:00 AM,Bus Passengers,140795,271110
US-Mexico Border,12/01/2010 12:00:00 AM,Truck Containers Empty,124954,141743
US-Canada Border,12/01/2010 12:00:00 AM,Rail Containers Full,99136,108498
US-Canada Border,12/01/2010 12:00:00 AM,Truck Containers Empty,83795,88046
US-Canada Border,12/01/2010 12:00:00 AM,Rail Containers Empty,49209,43933
US-Mexico Border,12/01/2010 12:00:00 AM,Rail Containers Empty,29946,31289
US-Mexico Border,12/01/2010 12:00:00 AM,Rail Containers Full,27116,27811
US-Mexico Border,12/01/2010 12:00:00 AM,Buses,19063,19595
US-Canada Border,12/01/2010 12:00:00 AM,Pedestrians,18678,47427
US-Canada Border,12/01/2010 12:00:00 AM,Train Passengers,12641,21417
US-Canada Border,12/01/2010 12:00:00 AM,Buses,7109,11269
US-Canada Border,12/01/2010 12:00:00 AM,Trains,2118,2522
US-Mexico Border,12/01/2010 12:00:00 AM,Trains,619,725
US-Mexico Border,12/01/2010 12:00:00 AM,Train Passengers,224,1045
US-Mexico Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,12599702,14126465
US-Mexico Border,12/01/2009 12:00:00 AM,Personal Vehicles,5969740,6553392
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,4133937,5561966
US-Mexico Border,12/01/2009 12:00:00 AM,Pedestrians,3708066,3688915
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicles,2060769,2652795
US-Canada Border,12/01/2009 12:00:00 AM,Trucks,404280,513476
US-Mexico Border,12/01/2009 12:00:00 AM,Trucks,360126,398493
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Full,315798,384661
US-Mexico Border,12/01/2009 12:00:00 AM,Truck Containers Full,234058,252587
US-Mexico Border,12/01/2009 12:00:00 AM,Bus Passengers,217595,244646
US-Canada Border,12/01/2009 12:00:00 AM,Bus Passengers,158215,271530
US-Mexico Border,12/01/2009 12:00:00 AM,Truck Containers Empty,124446,141807
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Full,88214,108573
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Empty,85845,88055
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Empty,39910,43948
US-Mexico Border,12/01/2009 12:00:00 AM,Rail Containers Empty,29556,31296
US-Mexico Border,12/01/2009 12:00:00 AM,Rail Containers Full,23390,27827
US-Mexico Border,12/01/2009 12:00:00 AM,Buses,20151,19592
US-Canada Border,12/01/2009 12:00:00 AM,Pedestrians,16077,47543
US-Canada Border,12/01/2009 12:00:00 AM,Train Passengers,14765,21441
US-Canada Border,12/01/2009 12:00:00 AM,Buses,7306,11284
US-Canada Border,12/01/2009 12:00:00 AM,Trains,1965,2525
US-Mexico Border,12/01/2009 12:00:00 AM,Trains,604,725
US-Mexico Border,12/01/2009 12:00:00 AM,Train Passengers,302,1047
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,13169398,14130036
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicles,6604996,6553200
US-Mexico Border,12/01/2008 12:00:00 AM,Pedestrians,3838082,3688358
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,3521642,5569579
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicles,1833417,2655852
US-Canada Border,12/01/2008 12:00:00 AM,Trucks,382977,513963
US-Mexico Border,12/01/2008 12:00:00 AM,Trucks,331232,398744
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Full,287911,385022
US-Mexico Border,12/01/2008 12:00:00 AM,Bus Passengers,254210,244610
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Full,199659,252784
US-Canada Border,12/01/2008 12:00:00 AM,Bus Passengers,162597,271936
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Empty,129628,141853
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Full,81987,108672
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Empty,66728,88134
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Empty,37471,43972
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Empty,33258,31288
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Full,24485,27840
US-Mexico Border,12/01/2008 12:00:00 AM,Buses,21794,19584
US-Canada Border,12/01/2008 12:00:00 AM,Pedestrians,17334,47656
US-Canada Border,12/01/2008 12:00:00 AM,Train Passengers,7983,21492
US-Canada Border,12/01/2008 12:00:00 AM,Buses,7497,11298
US-Canada Border,12/01/2008 12:00:00 AM,Trains,1835,2527
US-Mexico Border,12/01/2008 12:00:00 AM,Train Passengers,1771,1045
US-Mexico Border,12/01/2008 12:00:00 AM,Trains,751,725
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,14584120,14128335
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicles,7072540,6551255
US-Mexico Border,12/01/2007 12:00:00 AM,Pedestrians,4788991,3684236
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,4385658,5574013
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicles,2175942,2657650
US-Canada Border,12/01/2007 12:00:00 AM,Trucks,434458,514260
US-Mexico Border,12/01/2007 12:00:00 AM,Bus Passengers,361001,244174
US-Mexico Border,12/01/2007 12:00:00 AM,Trucks,359609,398891
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Full,351277,385149
US-Canada Border,12/01/2007 12:00:00 AM,Bus Passengers,254758,272001
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Full,224153,252891
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Empty,134428,141880
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Full,109266,108670
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Empty,80337,88163
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Empty,45117,43968
US-Mexico Border,12/01/2007 12:00:00 AM,Rail Containers Empty,35151,31274
US-Mexico Border,12/01/2007 12:00:00 AM,Rail Containers Full,26295,27845
US-Mexico Border,12/01/2007 12:00:00 AM,Buses,23760,19569
US-Canada Border,12/01/2007 12:00:00 AM,Pedestrians,19993,47760
US-Canada Border,12/01/2007 12:00:00 AM,Train Passengers,13765,21521
US-Canada Border,12/01/2007 12:00:00 AM,Buses,8656,11308
US-Canada Border,12/01/2007 12:00:00 AM,Trains,2430,2528
US-Mexico Border,12/01/2007 12:00:00 AM,Train Passengers,1585,1043
US-Mexico Border,12/01/2007 12:00:00 AM,Trains,858,724
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,15815174,14121994
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicles,7455033,6547857
US-Mexico Border,12/01/2006 12:00:00 AM,Pedestrians,4664264,3680551
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,4427650,5578323
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicles,2244897,2659202
US-Canada Border,12/01/2006 12:00:00 AM,Trucks,470527,514425
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Full,386579,385143
US-Mexico Border,12/01/2006 12:00:00 AM,Trucks,356786,399049
US-Mexico Border,12/01/2006 12:00:00 AM,Bus Passengers,313493,243913
US-Canada Border,12/01/2006 12:00:00 AM,Bus Passengers,221580,272190
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Full,220509,253013
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Empty,136176,141902
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Full,110378,108664
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Empty,71567,88226
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Empty,40165,43982
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Empty,36424,31255
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Full,31129,27833
US-Mexico Border,12/01/2006 12:00:00 AM,Buses,24575,19550
US-Canada Border,12/01/2006 12:00:00 AM,Pedestrians,22663,47854
US-Canada Border,12/01/2006 12:00:00 AM,Train Passengers,13751,21550
US-Canada Border,12/01/2006 12:00:00 AM,Buses,8443,11319
US-Canada Border,12/01/2006 12:00:00 AM,Trains,2822,2526
US-Mexico Border,12/01/2006 12:00:00 AM,Train Passengers,1641,1040
US-Mexico Border,12/01/2006 12:00:00 AM,Trains,847,724
US-Mexico Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,17017684,14111067
US-Mexico Border,12/01/2005 12:00:00 AM,Personal Vehicles,8010543,6542337
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,4698646,5581642
US-Mexico Border,12/01/2005 12:00:00 AM,Pedestrians,4241702,3678434
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicles,2232428,2660812
US-Canada Border,12/01/2005 12:00:00 AM,Trucks,501553,514473
US-Canada Border,12/01/2005 12:00:00 AM,Truck Containers Full,433899,384959
US-Mexico Border,12/01/2005 12:00:00 AM,Trucks,381580,399115
US-Mexico Border,12/01/2005 12:00:00 AM,Bus Passengers,283645,243764
US-Mexico Border,12/01/2005 12:00:00 AM,Truck Containers Full,242781,253052
US-Canada Border,12/01/2005 12:00:00 AM,Bus Passengers,212874,272414
US-Mexico Border,12/01/2005 12:00:00 AM,Truck Containers Empty,135546,141926
US-Canada Border,12/01/2005 12:00:00 AM,Rail Containers Full,120428,108619
US-Canada Border,12/01/2005 12:00:00 AM,Truck Containers Empty,75459,88274
US-Canada Border,12/01/2005 12:00:00 AM,Rail Containers Empty,38822,44001
US-Mexico Border,12/01/2005 12:00:00 AM,Rail Containers Empty,37319,31232
US-Mexico Border,12/01/2005 12:00:00 AM,Rail Containers Full,29308,27828
US-Canada Border,12/01/2005 12:00:00 AM,Pedestrians,24215,47943
US-Mexico Border,12/01/2005 12:00:00 AM,Buses,22946,19537
US-Canada Border,12/01/2005 12:00:00 AM,Train Passengers,15162,21574
US-Canada Border,12/01/2005 12:00:00 AM,Buses,8068,11331
US-Canada Border,12/01/2005 12:00:00 AM,Trains,2953,2525
US-Mexico Border,12/01/2005 12:00:00 AM,Train Passengers,1724,1038
US-Mexico Border,12/01/2005 12:00:00 AM,Trains,823,724
US-Mexico Border,12/01/2004 12:00:00 AM,Personal Vehicle Passengers,16991865,14100155
US-Mexico Border,12/01/2004 12:00:00 AM,Personal Vehicles,8074001,6536536
US-Mexico Border,12/01/2004 12:00:00 AM,Pedestrians,4519993,3675246
US-Canada Border,12/01/2004 12:00:00 AM,Personal Vehicle Passengers,4407985,5586088
US-Canada Border,12/01/2004 12:00:00 AM,Personal Vehicles,2210779,2662517
US-Canada Border,12/01/2004 12:00:00 AM,Trucks,502115,514520
US-Canada Border,12/01/2004 12:00:00 AM,Truck Containers Full,423289,384814
US-Mexico Border,12/01/2004 12:00:00 AM,Trucks,355965,399279
US-Mexico Border,12/01/2004 12:00:00 AM,Bus Passengers,292169,243580
US-Mexico Border,12/01/2004 12:00:00 AM,Truck Containers Full,220354,253176
US-Canada Border,12/01/2004 12:00:00 AM,Bus Passengers,201602,272682
US-Mexico Border,12/01/2004 12:00:00 AM,Truck Containers Empty,134507,141954
US-Canada Border,12/01/2004 12:00:00 AM,Rail Containers Full,119895,108576
US-Canada Border,12/01/2004 12:00:00 AM,Truck Containers Empty,72454,88334
US-Canada Border,12/01/2004 12:00:00 AM,Rail Containers Empty,37255,44027
US-Mexico Border,12/01/2004 12:00:00 AM,Rail Containers Empty,35645,31215
US-Mexico Border,12/01/2004 12:00:00 AM,Rail Containers Full,26466,27833
US-Canada Border,12/01/2004 12:00:00 AM,Pedestrians,24199,48033
US-Mexico Border,12/01/2004 12:00:00 AM,Buses,22942,19524
US-Canada Border,12/01/2004 12:00:00 AM,Train Passengers,12406,21609
US-Canada Border,12/01/2004 12:00:00 AM,Buses,8443,11342
US-Canada Border,12/01/2004 12:00:00 AM,Trains,2608,2524
US-Mexico Border,12/01/2004 12:00:00 AM,Train Passengers,1086,1038
US-Mexico Border,12/01/2004 12:00:00 AM,Trains,638,724
